mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones
200001.0,SCAP,D  ,6.0
200001.0,SCAR,D,691.0
200001.0,SCAR,I,139.0  
200001.0,SCBA,D,382.0  
200001.0,SCCC,D,82.0
200001.0  ,SCCF,D,397.0
200001.0,SCCH,D,368.0
200001.0,SCCI,D,777.0
200001.0,SCCI,I,35.0  
,SCCY,,315.0
,SCCY,I,2.0
200001.0,SCDA,D,1644.0
200001.0,SCDA,I,103.0
200001.0,SCEL,D  ,3460.0
200001.0,SCEL,I,3186.0
200001.0,SCES,D  ,48.0
200001.0,SCFA,D,1625.0  
200001.0,SCFA,I,3.0
200001.0,SCFM,D,162.0
200001.0,SCFT,D,8.0
200001.0,SCGE,D,236.0
200001.0,,D,53.0
200001.0,SCGZ,I  ,1.0
,SCHA,D,406.0
200001.0,SCHA,I,2.0
200001.0,SCHR  ,D,58.0
200001.0,SCIC,D,
200001.0,SCIE,D,1600.0
200001.0,SCIE,I,15.0
200001.0,SCIP,D,67.0
200001.0,SCIP,,
200001.0,SCJO,D,1167.0
200001.0,SCLC,D,
200001.0,SCLL,D,16.0
200001.0,SCNT,D,20.0
200001.0,SCRD,D,1344.0
200001.0  ,SCSE,D,969.0
200001.0  ,SCSE,I,18.0
200001.0,SCSR,D,64.0
200001.0,SCTB,D,5716.0
200001.0,SCTC,D,1707.0
200001.0,SCTC,I,17.0
200001.0,SCTE,D,2279.0
200001.0  ,SCTE,I,54.0
200001.0,SCTI,D,1781.0
200001.0,SCTN,D,320.0
,SCVD,,8.0
200001.0  ,SCVM,D,488.0
200002.0,,D,2.0
200002.0,SCAR,,604.0
200002.0,SCAR,I,117.0
200002.0  ,SCBA,D,404.0
200002.0,,I,2.0
200002.0,SCCC,D,67.0
200002.0,SCCF,D,515.0
200002.0,SCCH,D,301.0
200002.0,SCCI,D,818.0
200002.0,SCCI,I,27.0
200002.0,SCCY,D,400.0
200002.0,SCDA,D,1572.0
200002.0,SCDA,I,103.0
200002.0,SCEL,D,3144.0
200002.0,SCEL,I,2978.0
200002.0,SCES,D,44.0
200002.0,SCFA,D,
200002.0,SCFA,I,5.0
200002.0,,D,142.0
200002.0,SCFT,D,33.0
200002.0,SCGE,D,117.0
200002.0,SCGE,,25.0
200002.0,SCGZ,D,66.0
200002.0,SCGZ,I,2.0
200002.0,SCHA,D,342.0
200002.0,SCHA,I,
200002.0,SCHR,D,50.0
200002.0,SCIC  ,,494.0
200002.0,SCIE,D,1080.0
,SCIE  ,I,11.0
200002.0,SCIP,D,62.0  
200002.0  ,SCIP  ,I,27.0
200002.0,SCJO,D,
200002.0,SCLC,D,537.0
200002.0,SCLL,D,
200002.0,SCNT,D,82.0
,SCRD,D,599.0
200002.0,SCRM,D,31.0
200002.0,SCRM,I,5.0
200002.0,SCSE,D,957.0
200002.0,SCSE,I,12.0
200002.0,SCSR,D,44.0
200002.0,SCTB,D,4943.0
200002.0,SCTC,D,1429.0
200002.0,SCTC,I,16.0
200002.0,SCTE,D,2128.0
200002.0  ,SCTE,I,57.0
200002.0,SCTI,D,5.0
200002.0,SCTN,D,280.0
