mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones,categoria_operacion
200001.0,SCAP,D,6.0,BAJA
200001.0,SCAR,D,691.0,ALTA
200001.0,SCAR,I,139.0,MEDIA
200001.0,SCBA,D,382.0,MEDIA
200001.0,SCCC,D,82.0,BAJA
200001.0,SCCF,D,397.0,MEDIA
200001.0,SCCH,D,368.0,MEDIA
200001.0,SCCI,D,777.0,ALTA
200001.0,SCCI,I,35.0,BAJA
202301.0,SCCY,D,315.0,MEDIA
202301.0,SCCY,I,2.0,BAJA
200001.0,SCDA,D,1644.0,MUY ALTA
200001.0,SCDA,I,103.0,MEDIA
200001.0,SCEL,D,3460.0,MUY ALTA
200001.0,SCEL,I,3186.0,MUY ALTA
200001.0,SCES,D,48.0,BAJA
200001.0,SCFA,D,1625.0,MUY ALTA
200001.0,SCFA,I,3.0,BAJA
200001.0,SCFM,D,162.0,MEDIA
200001.0,SCFT,D,8.0,BAJA
200001.0,SCGE,D,236.0,MEDIA
200001.0,SCEL,D,53.0,BAJA
200001.0,SCGZ,I,1.0,BAJA
202301.0,SCHA,D,406.0,MEDIA
200001.0,SCHA,I,2.0,BAJA
200001.0,SCHR,D,58.0,BAJA
200001.0,SCIC,D,174.0,MEDIA
200001.0,SCIE,D,1600.0,MUY ALTA
200001.0,SCIE,I,15.0,BAJA
200001.0,SCIP,D,67.0,BAJA
200001.0,SCIP,D,174.0,MEDIA
200001.0,SCJO,D,1167.0,MUY ALTA
200001.0,SCLC,D,174.0,MEDIA
200001.0,SCLL,D,16.0,BAJA
200001.0,SCNT,D,20.0,BAJA
200001.0,SCRD,D,1344.0,MUY ALTA
200001.0,SCSE,D,969.0,ALTA
200001.0,SCSE,I,18.0,BAJA
200001.0,SCSR,D,64.0,BAJA
200001.0,SCTB,D,5716.0,MUY ALTA
200001.0,SCTC,D,1707.0,MUY ALTA
200001.0,SCTC,I,17.0,BAJA
200001.0,SCTE,D,2279.0,MUY ALTA
200001.0,SCTE,I,54.0,BAJA
200001.0,SCTI,D,1781.0,MUY ALTA
200001.0,SCTN,D,320.0,MEDIA
202301.0,SCVD,D,8.0,BAJA
200001.0,SCVM,D,488.0,MEDIA
200002.0,SCEL,D,2.0,BAJA
200002.0,SCAR,D,604.0,ALTA
200002.0,SCAR,I,117.0,MEDIA
200002.0,SCBA,D,404.0,MEDIA
200002.0,SCEL,I,2.0,BAJA
200002.0,SCCC,D,67.0,BAJA
200002.0,SCCF,D,515.0,ALTA
200002.0,SCCH,D,301.0,MEDIA
200002.0,SCCI,D,818.0,ALTA
200002.0,SCCI,I,27.0,BAJA
200002.0,SCCY,D,400.0,MEDIA
200002.0,SCDA,D,1572.0,MUY ALTA
200002.0,SCDA,I,103.0,MEDIA
200002.0,SCEL,D,3144.0,MUY ALTA
200002.0,SCEL,I,2978.0,MUY ALTA
200002.0,SCES,D,44.0,BAJA
200002.0,SCFA,D,174.0,MEDIA
200002.0,SCFA,I,5.0,BAJA
200002.0,SCEL,D,142.0,MEDIA
200002.0,SCFT,D,33.0,BAJA
200002.0,SCGE,D,117.0,MEDIA
200002.0,SCGE,D,25.0,BAJA
200002.0,SCGZ,D,66.0,BAJA
200002.0,SCGZ,I,2.0,BAJA
200002.0,SCHA,D,342.0,MEDIA
200002.0,SCHA,I,174.0,MEDIA
200002.0,SCHR,D,50.0,BAJA
200002.0,SCIC,D,494.0,MEDIA
200002.0,SCIE,D,1080.0,MUY ALTA
202301.0,SCIE,I,11.0,BAJA
200002.0,SCIP,D,62.0,BAJA
200002.0,SCIP,I,27.0,BAJA
200002.0,SCJO,D,174.0,MEDIA
200002.0,SCLC,D,537.0,ALTA
200002.0,SCLL,D,174.0,MEDIA
200002.0,SCNT,D,82.0,BAJA
202301.0,SCRD,D,599.0,ALTA
200002.0,SCRM,D,31.0,BAJA
200002.0,SCRM,I,5.0,BAJA
200002.0,SCSE,D,957.0,ALTA
200002.0,SCSE,I,12.0,BAJA
200002.0,SCSR,D,44.0,BAJA
200002.0,SCTB,D,4943.0,MUY ALTA
200002.0,SCTC,D,1429.0,MUY ALTA
200002.0,SCTC,I,16.0,BAJA
200002.0,SCTE,D,2128.0,MUY ALTA
200002.0,SCTE,I,57.0,BAJA
200002.0,SCTI,D,5.0,BAJA
200002.0,SCTN,D,280.0,MEDIA
200002.0,SCVM,D,368.0,MEDIA
200002.0,SCVM,I,4.0,BAJA
200003.0,SCAC,D,2.0,BAJA
200003.0,SCAP,D,23.0,BAJA
200003.0,SCEL,D,622.0,ALTA
200003.0,SCEL,I,152.0,MEDIA
200003.0,SCBA,D,359.0,MEDIA
200003.0,SCEL,D,78.0,BAJA
200003.0,SCCF,D,414.0,MEDIA
200003.0,SCCH,D,292.0,MEDIA
200003.0,SCCI,D,679.0,ALTA
200003.0,SCCI,I,41.0,BAJA
200003.0,SCCY,D,174.0,MEDIA
200003.0,SCDA,D,1523.0,MUY ALTA
200003.0,SCDA,I,77.0,BAJA
200003.0,SCEL,D,4080.0,MUY ALTA
202301.0,SCEL,I,4030.0,MUY ALTA
200003.0,SCES,D,47.0,BAJA
202301.0,SCFA,D,1579.0,MUY ALTA
200003.0,SCFA,I,7.0,BAJA
200003.0,SCFM,D,182.0,MEDIA
200003.0,SCFT,D,22.0,BAJA
200003.0,SCGE,D,198.0,MEDIA
200003.0,SCGZ,D,50.0,BAJA
200003.0,SCGZ,I,4.0,BAJA
200003.0,SCHA,D,411.0,MEDIA
200003.0,SCHR,D,174.0,MEDIA
200003.0,SCIC,D,401.0,MEDIA
200003.0,SCIE,D,1253.0,MUY ALTA
200003.0,SCIE,I,12.0,BAJA
200003.0,SCIP,D,27.0,BAJA
200003.0,SCIP,I,20.0,BAJA
200003.0,SCJO,D,555.0,ALTA
200003.0,SCJO,I,2.0,BAJA
200003.0,SCLC,D,174.0,MEDIA
200003.0,SCLL,D,29.0,BAJA
200003.0,SCNT,D,23.0,BAJA
200003.0,SCNT,I,1.0,BAJA
200003.0,SCRD,D,555.0,ALTA
200003.0,SCRM,D,6.0,BAJA
200003.0,SCRM,I,2.0,BAJA
200003.0,SCSE,D,799.0,ALTA
200003.0,SCSE,I,1.0,BAJA
200003.0,SCSR,D,62.0,BAJA
200003.0,SCTB,D,4768.0,MUY ALTA
200003.0,SCEL,D,1076.0,MUY ALTA
200003.0,SCTC,I,18.0,BAJA
200003.0,SCTE,D,1321.0,MUY ALTA
200003.0,SCTE,I,49.0,BAJA
200003.0,SCTN,D,279.0,MEDIA
200003.0,SCVM,D,376.0,MEDIA
200003.0,SCVM,I,1.0,BAJA
200004.0,SCAP,D,2.0,BAJA
200004.0,SCEL,D,567.0,ALTA
200004.0,SCAR,I,148.0,MEDIA
200004.0,SCBA,D,296.0,MEDIA
200004.0,SCCC,D,56.0,BAJA
200004.0,SCCF,D,366.0,MEDIA
200004.0,SCCH,D,210.0,MEDIA
200004.0,SCCI,D,577.0,ALTA
200004.0,SCCI,I,19.0,BAJA
200004.0,SCCY,D,303.0,MEDIA
200004.0,SCCY,I,2.0,BAJA
200004.0,SCDA,D,1314.0,MUY ALTA
200004.0,SCDA,I,53.0,BAJA
200004.0,SCEL,D,2782.0,MUY ALTA
200004.0,SCEL,I,2671.0,MUY ALTA
200004.0,SCES,D,46.0,BAJA
200004.0,SCFA,D,1448.0,MUY ALTA
200004.0,SCFA,I,10.0,BAJA
200004.0,SCFM,D,146.0,MEDIA
200004.0,SCGE,D,80.0,BAJA
200004.0,SCGZ,D,34.0,BAJA
200004.0,SCHA,D,319.0,MEDIA
200004.0,SCEL,I,1.0,BAJA
200004.0,SCHR,D,37.0,BAJA
200004.0,SCIC,D,351.0,MEDIA
200004.0,SCIE,D,1296.0,MUY ALTA
200004.0,SCIE,I,13.0,BAJA
200004.0,SCIP,D,17.0,BAJA
200004.0,SCIP,I,17.0,BAJA
200004.0,SCJO,D,642.0,ALTA
200004.0,SCLC,D,1081.0,MUY ALTA
200004.0,SCLL,D,51.0,BAJA
200004.0,SCLL,I,2.0,BAJA
200004.0,SCNT,D,4.0,BAJA
200004.0,SCRD,D,402.0,MEDIA
200004.0,SCEL,D,2.0,BAJA
200004.0,SCSE,D,603.0,ALTA
200004.0,SCSR,D,174.0,MEDIA
200004.0,SCTB,D,3745.0,MUY ALTA
200004.0,SCTC,D,869.0,ALTA
200004.0,SCTC,I,10.0,BAJA
200004.0,SCTE,D,1251.0,MUY ALTA
200004.0,SCTE,I,51.0,BAJA
200004.0,SCTN,D,170.0,MEDIA
200004.0,SCVM,D,405.0,MEDIA
200004.0,SCEL,I,4.0,BAJA
200005.0,SCAR,D,533.0,ALTA
200005.0,SCAR,I,166.0,MEDIA
200005.0,SCBA,D,303.0,MEDIA
200005.0,SCCC,D,62.0,BAJA
200005.0,SCCF,D,360.0,MEDIA
200005.0,SCCH,D,87.0,BAJA
200005.0,SCCI,D,513.0,ALTA
200005.0,SCCI,I,12.0,BAJA
200005.0,SCEL,D,315.0,MEDIA
200005.0,SCDA,D,1386.0,MUY ALTA
200005.0,SCDA,I,55.0,BAJA
200005.0,SCEL,D,2968.0,MUY ALTA
200005.0,SCEL,I,2686.0,MUY ALTA
200005.0,SCES,D,72.0,BAJA
200005.0,SCFA,D,1451.0,MUY ALTA
200005.0,SCFA,I,2.0,BAJA
200005.0,SCFM,D,174.0,MEDIA
200005.0,SCFT,D,2.0,BAJA
200005.0,SCGE,D,56.0,BAJA
200005.0,SCGZ,D,32.0,BAJA
200005.0,SCHA,D,347.0,MEDIA
200005.0,SCHA,I,2.0,BAJA
200005.0,SCHR,D,34.0,BAJA
200005.0,SCIC,D,263.0,MEDIA
200005.0,SCIE,D,1220.0,MUY ALTA
200005.0,SCIE,I,15.0,BAJA
200005.0,SCIP,D,19.0,BAJA
200005.0,SCIP,I,23.0,BAJA
200005.0,SCJO,D,381.0,MEDIA
200005.0,SCLC,D,753.0,ALTA
200005.0,SCLL,D,355.0,MEDIA
200005.0,SCNT,D,2.0,BAJA
200005.0,SCRD,D,285.0,MEDIA
200005.0,SCSE,D,689.0,ALTA
200005.0,SCSR,D,20.0,BAJA
200005.0,SCTB,D,4051.0,MUY ALTA
200005.0,SCTC,D,915.0,ALTA
200005.0,SCTC,I,18.0,BAJA
200005.0,SCTE,D,1119.0,MUY ALTA
200005.0,SCTE,I,48.0,BAJA
200005.0,SCTN,D,138.0,MEDIA
200005.0,SCEL,D,187.0,MEDIA
200005.0,SCVM,D,257.0,MEDIA
200006.0,SCAC,D,174.0,MEDIA
200006.0,SCEL,D,2.0,BAJA
200006.0,SCAR,D,174.0,MEDIA
200006.0,SCAR,I,75.0,BAJA
200006.0,SCBA,D,272.0,MEDIA
200006.0,SCEL,D,68.0,BAJA
202301.0,SCCF,D,329.0,MEDIA
200006.0,SCCI,D,485.0,MEDIA
200006.0,SCCI,I,174.0,MEDIA
200006.0,SCCY,D,218.0,MEDIA
200006.0,SCDA,NAN,1202.0,MUY ALTA
200006.0,SCDA,I,56.0,BAJA
200006.0,SCEL,D,2776.0,MUY ALTA
200006.0,SCEL,I,2598.0,MUY ALTA
200006.0,SCES,D,47.0,BAJA
200006.0,SCFA,D,1313.0,MUY ALTA
200006.0,SCFM,D,136.0,MEDIA
200006.0,SCFT,D,2.0,BAJA
200006.0,SCGE,D,61.0,BAJA
200006.0,SCGZ,D,28.0,BAJA
200006.0,SCHA,D,459.0,MEDIA
200006.0,SCHR,D,28.0,BAJA
NAN,SCIC,D,248.0,MEDIA
200006.0,SCIE,D,1043.0,MUY ALTA
200006.0,SCIE,I,11.0,BAJA
202301.0,SCIP,D,17.0,BAJA
200006.0,SCIP,I,17.0,BAJA
200006.0,SCJO,D,113.0,MEDIA
200006.0,SCLC,D,445.0,MEDIA
200006.0,SCLL,D,134.0,MEDIA
200006.0,SCRD,D,304.0,MEDIA
200006.0,NAN,D,812.0,ALTA
200006.0,SCSR,D,14.0,BAJA
200006.0,SCTB,D,3814.0,MUY ALTA
200006.0,SCTC,D,174.0,MEDIA
200006.0,SCTC,I,12.0,BAJA
200006.0,SCTE,D,1115.0,MUY ALTA
200006.0,SCTE,I,43.0,BAJA
200006.0,SCTI,D,1851.0,MUY ALTA
200006.0,SCTN,D,131.0,MEDIA
200006.0,SCVD,D,157.0,MEDIA
200006.0,SCVM,D,298.0,MEDIA
200007.0,SCAC,D,2.0,BAJA
200007.0,SCAP,D,2.0,BAJA
200007.0,SCAR,D,499.0,MEDIA
200007.0,SCAR,I,78.0,BAJA
200007.0,SCBA,D,328.0,MEDIA
200007.0,SCCC,D,78.0,BAJA
200007.0,SCCF,D,363.0,MEDIA
200007.0,SCCH,D,301.0,MEDIA
200007.0,SCCI,D,589.0,ALTA
200007.0,SCCI,I,25.0,BAJA
200007.0,SCCY,D,258.0,MEDIA
200007.0,SCDA,D,1360.0,MUY ALTA
200007.0,NAN,I,62.0,BAJA
200007.0,SCEL,D,3166.0,MUY ALTA
200007.0,SCEL,I,174.0,MEDIA
200007.0,SCES,D,62.0,BAJA
200007.0,SCFA,D,1564.0,MUY ALTA
200007.0,SCFA,I,8.0,BAJA
200007.0,SCFM,D,142.0,MEDIA
200007.0,SCGE,D,101.0,MEDIA
200007.0,SCEL,D,46.0,BAJA
200007.0,SCHA,D,342.0,MEDIA
200007.0,SCHA,I,2.0,BAJA
200007.0,SCHR,D,30.0,BAJA
200007.0,SCIC,D,457.0,MEDIA
200007.0,SCIE,D,1374.0,MUY ALTA
200007.0,SCIE,I,18.0,BAJA
200007.0,SCIP,D,19.0,BAJA
200007.0,SCIP,I,19.0,BAJA
200007.0,SCJO,D,112.0,MEDIA
200007.0,SCLC,D,174.0,MEDIA
200007.0,SCLL,D,118.0,MEDIA
200007.0,SCNT,D,2.0,BAJA
200007.0,SCRD,D,384.0,MEDIA
200007.0,SCSE,D,757.0,ALTA
200007.0,SCSR,D,20.0,BAJA
200007.0,SCTB,D,5171.0,MUY ALTA
202301.0,SCTC,D,795.0,ALTA
200007.0,SCTC,I,19.0,BAJA
200007.0,SCTE,D,1265.0,MUY ALTA
200007.0,SCTE,I,48.0,BAJA
200007.0,SCTI,D,2318.0,MUY ALTA
200007.0,SCTN,D,130.0,MEDIA
200007.0,SCVD,D,183.0,MEDIA
200007.0,SCVM,D,384.0,MEDIA
200008.0,SCAP,D,6.0,BAJA
200008.0,SCAR,D,522.0,ALTA
200008.0,SCAR,I,89.0,BAJA
200008.0,SCBA,D,174.0,MEDIA
200008.0,SCCC,D,174.0,MEDIA
200008.0,SCCF,D,343.0,MEDIA
200008.0,SCCH,D,225.0,MEDIA
200008.0,SCCI,D,579.0,ALTA
200008.0,SCEL,I,12.0,BAJA
200008.0,SCCY,D,303.0,MEDIA
200008.0,SCDA,D,1325.0,MUY ALTA
200008.0,SCEL,I,64.0,BAJA
200008.0,SCEL,D,3329.0,MUY ALTA
200008.0,SCEL,I,2845.0,MUY ALTA
202301.0,SCES,D,87.0,BAJA
200008.0,SCFA,D,1600.0,MUY ALTA
200008.0,SCFM,D,154.0,MEDIA
200008.0,SCFT,D,4.0,BAJA
200008.0,SCGE,D,153.0,MEDIA
200008.0,SCGZ,D,36.0,BAJA
200008.0,SCGZ,I,3.0,BAJA
200008.0,SCHA,D,375.0,MEDIA
200008.0,SCHA,I,3.0,BAJA
200008.0,SCHR,D,40.0,BAJA
200008.0,SCIC,D,482.0,MEDIA
200008.0,SCIE,D,1316.0,MUY ALTA
200008.0,SCIE,I,4.0,BAJA
200008.0,SCIP,D,17.0,BAJA
200008.0,SCIP,I,17.0,BAJA
200008.0,SCJO,D,474.0,MEDIA
200008.0,SCLC,D,647.0,ALTA
200008.0,SCLL,D,55.0,BAJA
200008.0,SCNT,D,2.0,BAJA
200008.0,SCRD,D,395.0,MEDIA
200008.0,SCSE,D,870.0,ALTA
200008.0,SCSR,D,10.0,BAJA
202301.0,SCTB,D,4549.0,MUY ALTA
200008.0,SCTC,D,964.0,ALTA
200008.0,SCTC,I,17.0,BAJA
200008.0,SCTE,D,1267.0,MUY ALTA
200008.0,SCEL,I,37.0,BAJA
200008.0,SCTI,D,2131.0,MUY ALTA
200008.0,SCTN,D,153.0,MEDIA
200008.0,SCVD,D,217.0,MEDIA
200008.0,SCVD,I,2.0,BAJA
200008.0,SCVM,D,174.0,MEDIA
200009.0,SCAR,D,515.0,ALTA
200009.0,SCAR,I,99.0,BAJA
200009.0,SCBA,D,262.0,MEDIA
200009.0,SCCC,D,58.0,BAJA
200009.0,SCCF,D,325.0,MEDIA
200009.0,SCCH,D,263.0,MEDIA
200009.0,SCCI,D,583.0,ALTA
200009.0,SCCI,I,20.0,BAJA
200009.0,SCCY,D,171.0,MEDIA
200009.0,SCDA,D,1526.0,MUY ALTA
200009.0,SCDA,I,60.0,BAJA
200009.0,SCEL,D,3271.0,MUY ALTA
200009.0,SCEL,I,2827.0,MUY ALTA
202301.0,SCES,D,67.0,BAJA
200009.0,SCFA,D,1532.0,MUY ALTA
200009.0,SCFA,I,3.0,BAJA
200009.0,SCFM,D,152.0,MEDIA
200009.0,SCEL,D,2.0,BAJA
200009.0,SCGE,D,157.0,MEDIA
200009.0,SCGZ,D,28.0,BAJA
200009.0,SCGZ,I,174.0,MEDIA
200009.0,SCEL,D,349.0,MEDIA
200009.0,SCHR,D,24.0,BAJA
200009.0,SCIC,D,438.0,MEDIA
200009.0,SCIE,D,1238.0,MUY ALTA
200009.0,SCIE,I,7.0,BAJA
200009.0,SCIP,D,20.0,BAJA
200009.0,SCIP,I,18.0,BAJA
200009.0,SCJO,D,672.0,ALTA
200009.0,SCLC,D,1057.0,MUY ALTA
200009.0,SCLL,D,174.0,MEDIA
200009.0,SCRD,D,396.0,MEDIA
200009.0,SCSE,D,831.0,ALTA
200009.0,SCSR,D,22.0,BAJA
200009.0,SCTB,D,4183.0,MUY ALTA
202301.0,SCTC,D,970.0,ALTA
200009.0,SCTC,I,9.0,BAJA
200009.0,SCEL,D,1315.0,MUY ALTA
200009.0,SCTE,I,48.0,BAJA
200009.0,SCTI,D,1886.0,MUY ALTA
200009.0,SCTN,D,177.0,MEDIA
200009.0,SCVD,D,183.0,MEDIA
200009.0,SCVM,D,303.0,MEDIA
200010.0,SCAC,D,4.0,BAJA
200010.0,NAN,D,568.0,ALTA
200010.0,SCAR,I,123.0,MEDIA
202301.0,SCBA,D,323.0,MEDIA
200010.0,SCCC,D,82.0,BAJA
200010.0,SCCF,D,273.0,MEDIA
200010.0,SCCF,I,1.0,BAJA
200010.0,SCCH,D,348.0,MEDIA
200010.0,SCCI,D,662.0,ALTA
200010.0,SCCI,I,27.0,BAJA
200010.0,SCCY,D,294.0,MEDIA
200010.0,SCDA,D,1417.0,MUY ALTA
200010.0,SCDA,I,60.0,BAJA
200010.0,SCEL,D,3358.0,MUY ALTA
200010.0,SCEL,I,2835.0,MUY ALTA
200010.0,SCES,D,83.0,BAJA
200010.0,SCFA,D,1642.0,MUY ALTA
200010.0,SCFA,I,6.0,BAJA
200010.0,SCFM,D,312.0,MEDIA
200010.0,SCGE,D,185.0,MEDIA
200010.0,SCEL,D,46.0,BAJA
200010.0,SCGZ,I,4.0,BAJA
200010.0,SCHA,D,389.0,MEDIA
200010.0,SCHR,D,174.0,MEDIA
200010.0,SCIC,D,686.0,ALTA
200010.0,SCIE,D,1443.0,MUY ALTA
200010.0,SCIE,I,3.0,BAJA
200010.0,SCIP,D,25.0,BAJA
200010.0,SCIP,I,17.0,BAJA
200010.0,SCEL,D,949.0,ALTA
200010.0,SCLC,D,984.0,ALTA
200010.0,SCLL,D,54.0,BAJA
200010.0,SCNT,D,174.0,MEDIA
200010.0,SCNT,I,1.0,BAJA
200010.0,SCRD,D,865.0,ALTA
200010.0,SCSE,D,862.0,ALTA
200010.0,SCEL,D,16.0,BAJA
200010.0,SCTB,D,5615.0,MUY ALTA
200010.0,SCTC,D,1421.0,MUY ALTA
200010.0,SCTC,I,16.0,BAJA
200010.0,SCTE,D,1316.0,MUY ALTA
200010.0,SCTE,I,38.0,BAJA
200010.0,SCTI,D,2321.0,MUY ALTA
200010.0,SCTN,D,197.0,MEDIA
200010.0,SCVD,D,182.0,MEDIA
200010.0,SCVM,D,356.0,MEDIA
200011.0,SCAR,D,529.0,ALTA
200011.0,SCAR,I,108.0,MEDIA
200011.0,SCBA,D,341.0,MEDIA
200011.0,SCBA,I,4.0,BAJA
200011.0,SCCC,D,86.0,BAJA
200011.0,SCCF,D,404.0,MEDIA
200011.0,SCCH,D,6.0,BAJA
200011.0,SCCI,D,174.0,MEDIA
200011.0,SCCI,I,25.0,BAJA
200011.0,SCCY,D,4.0,BAJA
200011.0,SCDA,D,1391.0,MUY ALTA
200011.0,SCDA,D,58.0,BAJA
200011.0,SCEL,D,3330.0,MUY ALTA
200011.0,SCEL,I,2777.0,MUY ALTA
200011.0,SCES,D,551.0,ALTA
200011.0,SCFA,D,1644.0,MUY ALTA
200011.0,SCFA,D,4.0,BAJA
200011.0,SCFM,D,178.0,MEDIA
200011.0,SCFT,D,8.0,BAJA
200011.0,SCGE,D,276.0,MEDIA
200011.0,SCGZ,D,40.0,BAJA
200011.0,SCGZ,I,21.0,BAJA
200011.0,SCHA,D,396.0,MEDIA
200011.0,SCHA,I,4.0,BAJA
200011.0,SCHR,D,34.0,BAJA
200011.0,SCIC,D,722.0,ALTA
200011.0,SCIE,D,1434.0,MUY ALTA
