aeropuerto_oaci,D,I,NAN
NAN,11552.0,230.0,0.0
SCAC,194.0,0.0,0.0
SCAP,5061.0,1.0,0.0
SCAR,140750.0,17038.0,971.0
SCAS,5788.0,0.0,0.0
SCAT,113543.0,1122.0,354.0
SCBA,97375.0,1102.0,0.0
SCCC,11333.0,0.0,0.0
SCCF,237930.0,3164.0,1046.0
SCCH,215964.0,608.0,174.0
SCCI,227753.0,10369.0,911.0
SCCV,31539.0,0.0,0.0
SCCY,77754.0,17.0,0.0
SCDA,375453.0,21118.0,1844.0
SCEL,1958221.0,1188845.0,2507.0
SCES,21609.0,5.0,0.0
SCFA,417278.0,9376.0,3561.0
SCFM,40618.0,2.0,165.0
SCFT,7051.0,1.0,20.0
SCGE,93461.0,206.0,177.0
SCGZ,24959.0,4215.0,124.0
SCHA,21965.0,229.0,0.0
SCHC,168.0,0.0,0.0
SCHR,14635.0,0.0,0.0
SCIC,101281.0,11.0,694.0
SCIE,459043.0,2711.0,0.0
SCIM,13037.0,2.0,240.0
SCIP,18006.0,5258.0,0.0
SCIR,9007.0,0.0,0.0
SCJO,120268.0,54.0,715.0
SCLC,129232.0,19.0,2444.0
SCLL,9603.0,2.0,0.0
SCMK,65073.0,0.0,0.0
SCNC,10440.0,0.0,0.0
SCNT,16495.0,1946.0,33.0
SCON,13833.0,0.0,27.0
SCPC,903.0,151.0,0.0
SCPD,83369.0,0.0,2885.0
SCPF,275206.0,200.0,174.0
SCPG,49.0,0.0,0.0
SCPM,1940.0,0.0,0.0
SCPQ,13801.0,9.0,117.0
SCPR,464.0,0.0,0.0
SCPT,424.0,0.0,0.0
SCQK,6547.0,0.0,0.0
SCQL,102.0,0.0,0.0
SCQP,89746.0,658.0,0.0
SCRD,265558.0,16.0,0.0
SCRG,93587.0,3.0,0.0
SCRM,6060.0,426.0,0.0
SCSD,69.0,0.0,0.0
SCSE,273937.0,2290.0,791.0
SCSN,156548.0,2.0,0.0
SCSR,910.0,0.0,0.0
SCST,130.0,0.0,0.0
SCTB,1140464.0,447.0,0.0
SCTC,146405.0,1165.0,0.0
SCTE,373790.0,6276.0,0.0
SCTI,187764.0,33.0,0.0
SCTL,1203.0,3.0,0.0
SCTN,65005.0,0.0,0.0
SCTS,904.0,0.0,0.0
SCVD,53204.0,22.0,0.0
SCVH,2118.0,0.0,0.0
SCVI,3677.0,152.0,0.0
SCVL,377.0,0.0,0.0
SCVM,239117.0,2379.0,0.0
SCVV,2439.0,0.0,0.0
