aeropuerto_oaci,cnt_operaciones,ranking
SCEL,3149573.0,1.0
SCTB,1140911.0,2.0
SCIE,461754.0,3.0
SCFA,430215.0,4.0
SCDA,398415.0,5.0
SCTE,380066.0,6.0
SCSE,277018.0,7.0
SCPF,275580.0,8.0
SCRD,265574.0,9.0
SCCF,242140.0,10.0
SCVM,241496.0,11.0
SCCI,239033.0,12.0
SCCH,216746.0,13.0
SCTI,187797.0,14.0
SCAR,158759.0,15.0
SCSN,156550.0,16.0
SCTC,147570.0,17.0
SCLC,131695.0,18.0
SCJO,121037.0,19.0
SCAT,115019.0,20.0
SCIC,101986.0,21.0
SCBA,98477.0,22.0
SCGE,93844.0,23.0
SCRG,93590.0,24.0
SCQP,90404.0,25.0
SCPD,86254.0,26.0
SCCY,77771.0,27.0
SCMK,65073.0,28.0
SCTN,65005.0,29.0
SCVD,53226.0,30.0
SCFM,40785.0,31.0
SCCV,31539.0,32.0
SCGZ,29298.0,33.0
SCIP,23264.0,34.0
SCHA,22194.0,35.0
SCES,21614.0,36.0
SCNT,18474.0,37.0
SCHR,14635.0,38.0
SCPQ,13927.0,39.0
SCON,13860.0,40.0
SCIM,13279.0,41.0
NAN,11782.0,42.0
SCCC,11333.0,43.0
SCNC,10440.0,44.0
SCLL,9605.0,45.0
SCIR,9007.0,46.0
SCFT,7072.0,47.0
SCQK,6547.0,48.0
SCRM,6486.0,49.0
SCAS,5788.0,50.0
SCAP,5062.0,51.0
SCVI,3829.0,52.0
SCVV,2439.0,53.0
SCVH,2118.0,54.0
SCPM,1940.0,55.0
SCTL,1206.0,56.0
SCPC,1054.0,57.0
SCSR,910.0,58.0
SCTS,904.0,59.0
SCPR,464.0,60.0
SCPT,424.0,61.0
SCVL,377.0,62.0
SCAC,194.0,63.0
SCHC,168.0,64.0
SCST,130.0,65.0
SCQL,102.0,66.0
SCSD,69.0,67.0
SCPG,49.0,68.0
