mes_id,aeropuerto_oaci,total_operaciones,promedio_operaciones,max_operaciones,min_operaciones,cantidad_registros
200001.0,SCAP,6.0,6.0,6.0,6.0,1
200001.0,SCAR,830.0,415.0,691.0,139.0,2
200001.0,SCBA,382.0,382.0,382.0,382.0,1
200001.0,SCCC,82.0,82.0,82.0,82.0,1
200001.0,SCCF,397.0,397.0,397.0,397.0,1
200001.0,SCCH,368.0,368.0,368.0,368.0,1
200001.0,SCCI,812.0,406.0,777.0,35.0,2
200001.0,SCDA,1747.0,873.5,1644.0,103.0,2
200001.0,SCEL,6699.0,2233.0,3460.0,53.0,3
200001.0,SCES,48.0,48.0,48.0,48.0,1
200001.0,SCFA,1628.0,814.0,1625.0,3.0,2
200001.0,SCFM,162.0,162.0,162.0,162.0,1
200001.0,SCFT,8.0,8.0,8.0,8.0,1
200001.0,SCGE,236.0,236.0,236.0,236.0,1
200001.0,SCGZ,1.0,1.0,1.0,1.0,1
200001.0,SCHA,2.0,2.0,2.0,2.0,1
200001.0,SCHR,58.0,58.0,58.0,58.0,1
200001.0,SCIC,174.0,174.0,174.0,174.0,1
200001.0,SCIE,1615.0,807.5,1600.0,15.0,2
200001.0,SCIP,241.0,120.5,174.0,67.0,2
200001.0,SCJO,1167.0,1167.0,1167.0,1167.0,1
200001.0,SCLC,174.0,174.0,174.0,174.0,1
200001.0,SCLL,16.0,16.0,16.0,16.0,1
200001.0,SCNT,20.0,20.0,20.0,20.0,1
200001.0,SCRD,1344.0,1344.0,1344.0,1344.0,1
200001.0,SCSE,987.0,493.5,969.0,18.0,2
200001.0,SCSR,64.0,64.0,64.0,64.0,1
200001.0,SCTB,5716.0,5716.0,5716.0,5716.0,1
200001.0,SCTC,1724.0,862.0,1707.0,17.0,2
200001.0,SCTE,2333.0,1166.5,2279.0,54.0,2
200001.0,SCTI,1781.0,1781.0,1781.0,1781.0,1
200001.0,SCTN,320.0,320.0,320.0,320.0,1
200001.0,SCVM,488.0,488.0,488.0,488.0,1
200002.0,SCAR,721.0,360.5,604.0,117.0,2
200002.0,SCBA,404.0,404.0,404.0,404.0,1
200002.0,SCCC,67.0,67.0,67.0,67.0,1
200002.0,SCCF,515.0,515.0,515.0,515.0,1
200002.0,SCCH,301.0,301.0,301.0,301.0,1
200002.0,SCCI,845.0,422.5,818.0,27.0,2
200002.0,SCCY,400.0,400.0,400.0,400.0,1
200002.0,SCDA,1675.0,837.5,1572.0,103.0,2
200002.0,SCEL,6268.0,1253.6,3144.0,2.0,5
200002.0,SCES,44.0,44.0,44.0,44.0,1
200002.0,SCFA,179.0,89.5,174.0,5.0,2
200002.0,SCFT,33.0,33.0,33.0,33.0,1
200002.0,SCGE,142.0,71.0,117.0,25.0,2
200002.0,SCGZ,68.0,34.0,66.0,2.0,2
200002.0,SCHA,516.0,258.0,342.0,174.0,2
200002.0,SCHR,50.0,50.0,50.0,50.0,1
200002.0,SCIC,494.0,494.0,494.0,494.0,1
200002.0,SCIE,1080.0,1080.0,1080.0,1080.0,1
200002.0,SCIP,89.0,44.5,62.0,27.0,2
200002.0,SCJO,174.0,174.0,174.0,174.0,1
200002.0,SCLC,537.0,537.0,537.0,537.0,1
200002.0,SCLL,174.0,174.0,174.0,174.0,1
200002.0,SCNT,82.0,82.0,82.0,82.0,1
200002.0,SCRM,36.0,18.0,31.0,5.0,2
200002.0,SCSE,969.0,484.5,957.0,12.0,2
200002.0,SCSR,44.0,44.0,44.0,44.0,1
200002.0,SCTB,4943.0,4943.0,4943.0,4943.0,1
200002.0,SCTC,1445.0,722.5,1429.0,16.0,2
200002.0,SCTE,2185.0,1092.5,2128.0,57.0,2
200002.0,SCTI,5.0,5.0,5.0,5.0,1
200002.0,SCTN,280.0,280.0,280.0,280.0,1
200002.0,SCVM,372.0,186.0,368.0,4.0,2
200003.0,SCAC,2.0,2.0,2.0,2.0,1
